"Latitude","Longitude","COLETA"
"-23.54331400706499","-46.63461863994599","GPS"
"-23.54310745614754","-46.63487613201142","GPS"
"-23.541415693565337","-46.63658201694489","GPS"
"-23.541582903626992","-46.63672149181367","GPS"
"-23.540353412914055","-46.63768708705903","GPS"
"-23.541209139666257","-46.63904964923859","GPS"
"-23.540520624326312","-46.63955390453339","GPS"
"-23.541710770001277","-46.64120614528656","GPS"
"-23.541356678198714","-46.641764044761665","GPS"
"-23.543628750696303","-46.6443818807602","GPS"
"-23.54610733046631","-46.64489686489105","GPS"
"-23.550769294388324","-46.63822889328002","GPS"
"-23.54987920645061","-46.638851165771484","GPS"
"-23.579160427670775","-46.64142608642578","GPS"
"-23.550117","-46.63790417","GPS"
"-23.55008517","-46.63792733","GPS"
"-23.5500535","-46.63793333","GPS"
"-23.550044","-46.63792883","GPS"
"-23.55003133","-46.63792133","GPS"
"-23.55020683","-46.63795233","GPS"
"-23.55020683","-46.63795233","GPS"
"-23.55159544796499","-46.64044976234436","GPS"
"-23.5511823718257","-46.638116240501404","GPS"
"-23.550543084765405","-46.638089418411255","GPS"
"-23.5500535","-46.63793333","GPS"
"-23.55200852280618","-46.6404926776886","GPS"
"-23.579234175653454","-46.6416996717453","GPS"
"-23.550729953612294","-46.637821197509766","GPS"
"-23.550798799962603","-46.63962364196777","GPS"
"-23.550117","-46.63790417","GPS"
"-23.55008517","-46.63792733","GPS"
"-23.5500535","-46.63793333","GPS"
"-23.550044","-46.63792883","GPS"
"-23.55003133","-46.63792133","GPS"
"-23.55020683","-46.63795233","GPS"
"-23.550117","-46.63790417","GPS"
"-23.551767562639906","-46.639360785484314","GPS"
"-23.55246093661901","-46.640331745147705","GPS"
"-23.579647163590927","-46.642343401908875","GPS"
"-23.55210687376752","-46.63870096206666","GPS"
"-23.54941203081192","-46.638556122779846","GPS"
"-23.55159053039954","-46.639822125434875","GPS"
"-23.55020683","-46.63795233","GPS"
"-23.550117","-46.63790417","GPS"
"-23.551423333064697","-46.64016008377075","GPS"
"-23.55113319600836","-46.63971483707428","GPS"
"-23.550429979807976","-46.638341546058655","GPS"
"-23.550607013611344","-46.63936614990234","GPS"
"-23.5500535","-46.63793333","GPS"
"-23.548871088524567","-46.637499332427986","CAMERA"
"-23.54984478303917","-46.64245605468751","CAMERA"
"-23.544179550238372","-46.638486385345466","CAMERA"
"-23.547523640785958","-46.64314270019531","CAMERA"
"-23.552569122300067","-46.64235949516297","CAMERA"
"-23.550631601620733","-46.64335727691651","CAMERA"
"-23.544041850569148","-46.63882970809937","CAMERA"
"-23.552205224655275","-46.643314361572266","CAMERA"
"-23.552028193004343","-46.64164066314698","CAMERA"
"-23.550002147132226","-46.64112567901612","CAMERA"
"-23.54772034934592","-46.643743515014656","CAMERA"
"-23.541700934130745","-46.639838218688965","CAMERA"
"-23.543235321039443","-46.6384220123291","CAMERA"
"-23.54783837434061","-46.633293628692634","CAMERA"
"-23.549333348435727","-46.64174795150757","CAMERA"
"-23.548094094798984","-46.63446307182313","CAMERA"
"-23.55372965400491","-46.641361713409424","CAMERA"
"-23.551280723405174","-46.64391517639161","CAMERA"
"-23.546559764587947","-46.64067506790161","CAMERA"
"-23.544691004890126","-46.64052486419678","CAMERA"
"-23.54343203601502","-46.64039611816407","CAMERA"
"-23.55377882885086","-46.64320707321168","CAMERA"
"-23.55453611915501","-46.638880670070655","CAMERA"
"-23.551988852605096","-46.64153337478638","CAMERA"
"-23.548153107141804","-46.63650155067444","CAMERA"
"-23.551575777702084","-46.64490222930909","CAMERA"
"-23.545418840772324","-46.639516353607185","CAMERA"
"-23.544691004890126","-46.64046049118043","CAMERA"
"-23.543963164979132","-46.63985967636109","CAMERA"
"-23.548310473259864","-46.635546684265144","CAMERA"
"-23.55544338653382","-46.63939565420151","CAMERA"
"-23.551064349833187","-46.64164066314698","CAMERA"
"-23.554231236570278","-46.64130806922913","CAMERA"
"-23.548369485505564","-46.64237022399903","CAMERA"
"-23.54490738895161","-46.64144754409791","CAMERA"
"-23.54508443019161","-46.64005279541016","CAMERA"
"-23.54353039339244","-46.64046049118043","CAMERA"
